,Bremerhaven,Rostock-Warnemuende,Hamburg-Fuhlsbuettel,Postdam,Essen,Bad Marienberg,Kassel,Braunlage,Chemnitz,Hof,Fichtelberg,Mannheim,Muehldorf/Inn,Stotten,Garmisch-Partenkirchen
2011-12-19 11:00:00,276.3007260572977,276.938891593739,276.10322225986096,275.9295380158839,275.191131858633,273.06622919374826,273.47215408395743,272.68511633839296,272.7277930383416,271.663852983808,270.39843920626106,273.8959436392614,274.21850009236164,270.42523620390324,268.1524538112895
2011-12-19 12:00:00,276.6351922871278,277.2038841259783,276.40890652926055,275.9434327554021,275.67645526037455,273.25678562142593,273.72325187667855,272.8736878032823,272.7645148499253,271.856394374274,270.6177775943692,274.59068061516956,274.8030716335186,270.0143489067233,267.54704016085526
2011-12-19 13:00:00,276.9478239262864,277.35176385370727,276.6093877708797,276.17071099466347,276.0665004482772,273.4344397909796,273.9902293717061,272.871702840494,272.70992837324684,271.9496876253245,270.75870995233913,274.6819889034318,274.81299644746014,271.1993716913437,268.1981079554206
2011-12-19 14:00:00,276.83765849153525,277.2515232328977,276.3275230549399,276.15185384817454,275.98809441813904,273.5406353001541,273.9545000415165,272.93125172414324,272.6245749733495,271.8256274510552,270.7676422848865,274.85170322183217,274.5857182081988,270.4123339457792,267.821957507036
2011-12-19 15:00:00,276.1260493319265,276.92896677979746,275.9077034252125,276.1200944435616,275.4720040931787,273.0791314518723,274.0249662205015,272.82902614054535,272.435011027066,271.64797328150155,270.4153113899617,274.7574174893875,274.07161284602677,270.0153413881174,268.51073959457926
2011-12-19 16:00:00,275.36481610261,276.56968851511357,275.36481610261,276.07940270640125,275.4313123560184,273.2964848771921,273.835402274218,272.87269532188816,272.2573568575124,271.22219876340927,270.0441233485479,274.78222952424136,272.49356742932116,268.8610855267158,267.4914612027826
2011-12-19 17:00:00,275.1484551586843,276.47838022685136,275.0055378379261,276.08635007616033,275.20502659815116,273.3530563166589,273.6388909581754,272.7188607057942,272.1332966832431,271.08424384962177,269.9200631742786,274.95095136124763,272.02908613685685,270.07786771594914,268.49783733645523
2011-12-19 18:00:00,275.01943257744426,276.36126742234114,274.61450016862926,276.1131470738025,275.1246356052246,273.0235524937996,273.7103496185545,272.6732065616631,272.23849971102345,271.21822883783267,269.9686947625922,274.76337237775243,271.89013874167523,270.0877925298907,268.33407790641974
2011-12-19 19:00:00,274.9906506170138,275.9543500507378,274.50135728969565,276.00893652741627,274.9618686565833,272.8191013266038,273.5922443326501,272.3526350713512,272.2523944505416,271.18051454485476,269.67095034434584,274.71374830804467,272.3972967340882,268.18619817869074,266.2270399066298
2011-12-19 20:00:00,274.8973573659633,275.49086123966765,274.5321242129144,275.98511697395656,274.8010866707303,272.67221408026893,273.32625931901674,271.88120640912786,272.0668004298347,271.17257469370156,269.50619843291616,274.4219587781633,272.75260507319547,265.1918818125267,263.49076870294596
